iter	MultiClass
0	1.053675716
1	1.017472587
2	0.9874239989
3	0.962369529
4	0.9410142882
5	0.9234156221
6	0.9076534199
7	0.8943054675
8	0.8832320724
9	0.8733130047
10	0.8646513594
11	0.8569130999
12	0.8495650838
13	0.8433387479
14	0.8380581001
15	0.8331127386
16	0.8284020237
17	0.8240811305
18	0.820601172
19	0.817047156
20	0.8137081548
21	0.81104961
22	0.8084818112
23	0.8062153061
24	0.8044065144
25	0.8024442504
26	0.8003401043
27	0.7990438563
28	0.7975699263
29	0.7961306981
30	0.7950347889
31	0.7934423204
32	0.7924280652
33	0.7904561996
34	0.7893883622
35	0.7886870312
36	0.7863409815
37	0.7855588765
38	0.7844578972
39	0.7825290273
40	0.7813585792
41	0.7805588411
42	0.7787628106
43	0.7773342512
44	0.7765992375
45	0.7751983336
46	0.7746676766
47	0.7732475525
48	0.7716383059
49	0.7711526138
50	0.7697221932
51	0.7692471966
52	0.7672241083
53	0.7661541186
54	0.7655284262
55	0.763996649
56	0.7635993525
57	0.7630575983
58	0.7614116059
59	0.7601573008
60	0.7594853037
61	0.7579972101
62	0.7571443468
63	0.7566127213
64	0.7557423399
65	0.7548289604
66	0.7539766771
67	0.7525817738
68	0.750870405
69	0.7494030007
70	0.7491638563
71	0.748676245
72	0.7475620324
73	0.7474077242
74	0.7458605175
75	0.745192807
76	0.7446313613
77	0.7439674386
78	0.742923146
79	0.7426670459
80	0.7414934739
81	0.7401655434
82	0.7399118896
83	0.7387701706
84	0.7377559816
85	0.7374676912
86	0.7369951384
87	0.736270198
88	0.7350116729
89	0.7340144176
90	0.7328234419
91	0.7326492462
92	0.7321626074
93	0.7316742863
94	0.7315387279
95	0.7304685533
96	0.7299862713
97	0.7282314035
98	0.7273817776
99	0.726547484
100	0.7263777488
101	0.7255780265
102	0.7246916004
103	0.7244621025
104	0.723655582
105	0.7231506617
106	0.7224666154
107	0.7220405323
108	0.7216547178
109	0.7203749812
110	0.718579458
111	0.7172890477
112	0.7164881942
113	0.7150204769
114	0.7138324039
115	0.713559463
116	0.7130893945
117	0.7124142606
118	0.7122886041
119	0.712031222
120	0.7109435579
121	0.7104331225
122	0.7087549908
123	0.7084697764
124	0.7077009691
125	0.7066074303
126	0.7065015158
127	0.7054232727
128	0.7040469764
129	0.7031577776
130	0.7029174041
131	0.7027846707
132	0.702671917
133	0.7025923198
134	0.7019292882
135	0.7013777436
136	0.6999830378
137	0.6988690511
138	0.6981674526
139	0.697490588
140	0.6964105909
141	0.6958777947
142	0.6946465001
143	0.6937144413
144	0.6932668919
145	0.6930365009
146	0.6919932237
147	0.6919070802
148	0.6913542066
149	0.6907625509
150	0.6900441394
151	0.6894676772
152	0.6887993772
153	0.6885958897
154	0.6882558439
155	0.6876582466
156	0.6873168323
157	0.686685145
158	0.6864827221
159	0.6863612236
160	0.6862678385
161	0.6853397328
162	0.6848397937
163	0.6840635764
164	0.6831369102
165	0.682235749
166	0.6815919517
167	0.680804204
168	0.6799901086
169	0.6798567327
170	0.6794293935
171	0.6792948787
172	0.6789401088
173	0.6786776739
174	0.6779579661
175	0.6773922721
176	0.6768696203
177	0.6763276978
178	0.6760308371
179	0.6756621021
180	0.6747266731
181	0.6745242472
182	0.6744392579
183	0.6739933783
184	0.6737188876
185	0.6733770213
186	0.6726138199
187	0.6724113845
188	0.672097309
189	0.6714737321
190	0.6708112109
191	0.6702899754
192	0.6697621284
193	0.6692920179
194	0.6689343963
195	0.6684991715
196	0.6682836863
197	0.6679595815
198	0.667627718
199	0.6670345469
200	0.6665960851
201	0.6660820044
202	0.6656757665
203	0.6656053183
204	0.6654142137
205	0.6653464238
206	0.6646669968
207	0.6642985148
208	0.6641446292
209	0.6638035198
210	0.6635133479
211	0.6633816709
212	0.6628512543
213	0.6626876165
214	0.6625841588
215	0.6618270374
216	0.6617375017
217	0.6610820993
218	0.6610201057
219	0.6609525986
220	0.6602092865
221	0.6595639832
222	0.6591673975
223	0.6585856821
224	0.6585412756
225	0.6581670057
226	0.6579354119
227	0.6578775851
228	0.6573532312
229	0.6573025744
230	0.6567300352
231	0.6562318371
232	0.6557820735
233	0.655248383
234	0.6551942288
235	0.6549097446
236	0.6545642419
237	0.6542115182
238	0.6535548896
239	0.6529081203
240	0.6525988533
241	0.6520301537
242	0.6519820285
243	0.6517784602
244	0.6511959763
245	0.6511500557
246	0.6510124981
247	0.6507753795
248	0.6505739723
249	0.6501762964
250	0.6501331368
251	0.6500888916
252	0.6494032896
253	0.6493570865
254	0.6492043269
255	0.6491666131
256	0.6490069064
257	0.648719253
258	0.6485896768
259	0.6481465977
260	0.6481179508
261	0.6479977829
262	0.6477579057
263	0.6471616353
264	0.6471332644
265	0.6466797869
266	0.6462746558
267	0.6461898015
268	0.6456954698
269	0.6455350679
270	0.6455007749
271	0.6449963634
272	0.6444761181
273	0.6440416832
274	0.6437583374
275	0.6433451943
276	0.6428185582
277	0.6425685779
278	0.6421458993
279	0.6419069391
280	0.6418619818
281	0.6417019849
282	0.6415912548
283	0.6412108003
284	0.6411844229
285	0.6411363632
286	0.6410945144
287	0.6408706374
288	0.6407536327
289	0.6403201396
290	0.6402884503
291	0.6402218949
292	0.6401765338
293	0.6401455589
294	0.6401191056
295	0.6396234437
296	0.6393540517
297	0.6390541403
298	0.6388418747
299	0.63841381
