iter	Passed	Remaining
0	10046	3003869
1	17211	2564533
2	25248	2499628
3	34638	2563213
4	44604	2631686
5	54347	2663026
6	63211	2645865
7	71553	2611693
8	81094	2622060
9	92705	2688467
10	102069	2681636
11	111029	2664698
12	120337	2656675
13	130365	2663183
14	140613	2671650
15	154009	2733675
16	162287	2701614
17	169935	2662324
18	178666	2642379
19	186980	2617720
20	194751	2587414
21	203176	2567415
22	213787	2574741
23	223904	2574902
24	232897	2561867
25	241690	2547050
26	249857	2526338
27	258057	2506840
28	265906	2484853
29	274287	2468585
30	282573	2452009
31	289948	2428317
32	297823	2409665
33	306596	2398667
34	316449	2395976
35	325558	2387426
36	334663	2378822
37	343045	2365206
38	351017	2349119
39	359232	2335014
40	366990	2318306
41	374709	2301789
42	382973	2288935
43	392624	2284360
44	402432	2280451
45	410044	2264161
46	419514	2258235
47	427807	2245988
48	439403	2250823
49	450804	2254022
50	459205	2242002
51	467692	2230533
52	476961	2222821
53	485873	2213421
54	496153	2210137
55	505114	2200855
56	514026	2191375
57	523458	2184086
58	533080	2177499
59	542106	2168427
60	550657	2157495
61	559221	2146690
62	568670	2139282
63	576702	2126591
64	584855	2114476
65	593424	2103960
66	603409	2098425
67	612404	2089380
68	621185	2079621
69	630054	2070178
70	638500	2059388
71	648650	2054059
72	658118	2046479
73	667242	2037795
74	676594	2029782
75	686687	2023921
76	696669	2017626
77	706492	2010786
78	715243	2000869
79	723182	1988750
80	731218	1976997
81	740287	1968081
82	749399	1959272
83	759024	1951777
84	770754	1949556
85	779482	1939643
86	788476	1930408
87	796397	1918594
88	804051	1906234
89	813534	1898247
90	822776	1889673
91	833439	1884299
92	843563	1877609
93	852432	1868096
94	860594	1857072
95	869635	1847974
96	880168	1842002
97	891103	1836763
98	900099	1827475
99	908586	1817173
100	916633	1806040
101	925204	1795984
102	933825	1786053
103	943796	1778692
104	953152	1770140
105	962449	1761463
106	971957	1753156
107	981236	1744420
108	989889	1734576
109	999728	1726803
110	1008382	1716976
111	1015852	1705180
112	1024077	1694712
113	1032779	1685060
114	1040544	1673919
115	1051392	1667725
116	1061213	1659846
117	1071266	1652292
118	1079119	1641350
119	1087266	1630899
120	1098851	1625574
121	1109372	1618593
122	1118353	1609338
123	1126585	1599024
124	1138587	1594022
125	1148866	1586530
126	1158350	1577910
127	1166753	1567825
128	1175044	1557617
129	1183927	1548212
130	1193729	1540002
131	1202912	1530979
132	1211366	1521039
133	1220011	1511357
134	1228448	1501436
135	1239271	1494415
136	1249571	1486715
137	1257954	1476729
138	1265987	1466359
139	1274977	1457117
140	1282381	1446089
141	1294812	1440707
142	1305838	1433682
143	1314029	1423532
144	1322875	1414108
145	1333182	1406233
146	1341753	1396518
147	1351765	1388299
148	1362960	1381254
149	1372165	1372165
150	1379724	1361449
151	1387692	1351174
152	1398039	1343214
153	1407483	1334367
154	1418339	1326833
155	1427483	1317677
156	1436987	1308848
157	1446460	1299983
158	1455522	1290746
159	1465395	1282220
160	1473947	1272538
161	1483060	1263348
162	1492442	1254383
163	1500384	1244220
164	1511776	1236907
165	1522301	1228845
166	1529467	1218079
167	1538984	1209202
168	1548197	1200081
169	1557510	1191037
170	1568298	1183102
171	1577516	1173965
172	1587931	1165706
173	1598114	1157255
174	1606452	1147465
175	1615401	1138123
176	1624436	1128845
177	1634707	1120417
178	1645172	1112099
179	1655159	1103439
180	1664647	1094436
181	1672959	1084665
182	1682527	1075714
183	1690810	1065945
184	1699121	1056210
185	1708906	1047394
186	1718582	1038501
187	1729513	1030348
188	1738900	1021258
189	1748907	1012525
190	1759443	1004080
191	1767707	994335
192	1775948	984593
193	1784894	975251
194	1793154	965544
195	1801586	955943
196	1811956	947368
197	1820768	937971
198	1829800	928692
199	1840992	920496
200	1850294	911339
201	1859288	902031
202	1868756	892952
203	1878788	884135
204	1887560	874723
205	1899810	866903
206	1908827	857588
207	1917319	848045
208	1927093	839069
209	1935002	829286
210	1943245	819662
211	1951943	810240
212	1959967	800550
213	1967076	790507
214	1976757	781508
215	1987416	772884
216	1995802	763371
217	2003671	753674
218	2012444	744328
219	2022740	735542
220	2031621	726235
221	2044123	718205
222	2056568	710115
223	2065443	700775
224	2075240	691746
225	2085014	682703
226	2094517	673567
227	2101991	663786
228	2111152	654549
229	2120028	645226
230	2127598	635516
231	2138239	626725
232	2146476	617227
233	2155255	607892
234	2166769	599319
235	2175667	590011
236	2183214	580348
237	2191586	570917
238	2200022	561512
239	2210158	552539
240	2218416	543097
241	2227019	533748
242	2234059	524038
243	2242058	514570
244	2249075	504894
245	2260594	496228
246	2269322	486939
247	2278172	477681
248	2286535	468326
249	2294836	458967
250	2304143	449812
251	2311545	440294
252	2318534	430715
253	2328879	421765
254	2337873	412565
255	2347518	403479
256	2357329	394416
257	2365222	385036
258	2374645	375909
259	2382736	366574
260	2391550	357358
261	2398239	347836
262	2406776	338595
263	2414678	329274
264	2424703	320243
265	2433484	311046
266	2441616	301772
267	2450020	292539
268	2458837	283360
269	2467996	274221
270	2476510	265014
271	2487275	256043
272	2496414	246898
273	2504389	237642
274	2515369	228669
275	2523297	219417
276	2531158	210168
277	2538888	200919
278	2546214	191650
279	2555089	182506
280	2561942	173227
281	2569922	164037
282	2576859	154793
283	2585932	145686
284	2594097	136531
285	2604076	127472
286	2614293	118417
287	2623168	109298
288	2631165	100148
289	2640419	91048
290	2650930	81987
291	2658950	72847
292	2666401	63702
293	2675139	54594
294	2683481	45482
295	2690738	36361
296	2698574	27258
297	2706760	18166
298	2718349	9091
299	2726971	0
